# dt=0.01 eps=0.5 size1_sp=32 size2_sp=32 size_v1=32 size_v2=32
# sp1 : from 0.0 to 12.566370614359172
# sp2 : from 0.0 to 12.566370614359172
# v1 : from -6.0 to 6.0
# v2 : from -6.0 to 6.0
# interpolation : Lagrange{Double64, true} order=5
# type=Double64 precision = 106
# timeopt=MPIOpt
# nb process : 16
typeof(data)=Array{Double64,4} size(data)=(32, 32, 32, 32)
#time	el-energy	kinetic-energy	global-energy
0.0	162.84847081532047	157.91363816690782	320.76210898222826
0.01	162.82602772808457	157.9360927250759	320.76212045316043
0.02	162.75869496983597	158.00344786461136	320.76214283444733
0.03	162.64651776318945	158.1156819526359	320.7621997158253
0.04	162.48957143708276	158.27275890353926	320.762330340622
0.05	162.2879613474983	158.47462814457782	320.76258949207613
0.06	162.04182276667044	158.72122456800835	320.7630473346788
0.07	161.75132074099238	159.01246847004265	320.76378921103503
0.08	161.416649917897	159.34826547698813	320.7649153948851
0.09	161.0380343420435	159.7285064590175	320.76654080106096
0.1	160.6157272212007	160.1530674320859	320.7687946532866
0.11	160.15001066227308	160.62180944858795	320.77182011086103
0.12	159.64119537797058	161.1345784774172	320.77577385538774
0.13	159.0896203646755	161.6912052741585	320.780825638834
0.14	158.49565255211144	162.291505242209	320.7871577943205
0.15	157.85968642546626	162.9352782856829	320.79496471114913
0.16	157.18214362066902	163.62230865501388	320.80445227568293
0.17	156.46347249356324	164.35236478622164	320.8158372797849
0.18	155.70414766376066	165.1251991348569	320.82934679861756
0.19	154.9046695339986	165.94054800568594	320.84521753968454
0.2	154.06556378585833	166.79813137921312	320.8636951650714
0.21	153.18738085273696	167.69765273617685	320.8850335889138
0.22	152.270695370993	168.63879888118373	320.9094942521767
0.23	151.31610561021432	169.62123976667124	320.93734537688556
0.24	150.32423288358066	170.64462831840973	320.96886120199036
0.25	149.29572093931384	171.70860026376963	321.00432120308346
0.26	148.23123533422643	172.81277396398994	321.0440092982164
0.27	147.1314627903952	173.95675025168939	321.0882130420846
0.28	145.99711053599682	175.14011227486145	321.1372228108583
0.29	144.8289056313527	176.36242534859016	321.19133097994285
0.3	143.62759428123576	177.62323681571274	321.2508310969485
0.31	142.39394113449453	178.9220759176423	321.31601705213683
0.32	141.12872857205147	180.2584536765426	321.38718224859406
0.33	139.83275598432868	181.63186279002508	321.46461877435377
0.34	138.5068390391504	183.04177753950904	321.54861657865945
0.35	137.15180894116324	184.48765371335372	321.639462654517
0.36	135.768511683806	185.9689285458359	321.7374402296419
0.37	134.35780729484853	187.48502067300473	321.8428279678532
0.38	132.920569076504	189.03533010640433	321.95589918290835
0.39	131.45768284110412	190.61923822560547	322.0769210667096
0.4	129.97004614330692	192.23610779043938	322.2061539337463
0.41	128.45856750978768	193.8852829737737	322.34385048356137
0.42	126.92416566734173	195.56608941561464	322.49025508295637
