# order	Lagrange	formule	(formule-lag)	B_SplineLU
3	4.6882278863456276e-11	3.530176364640915e-11	-1.1580515217047127e-11	3.3628148516571056e-12
4	9.700929216073427e-14	9.909624347453066e-14	2.086951313796392e-15	1.5411255901889415e-15
5	3.401542337540021e-16	2.839110944171047e-16	-5.624313933689736e-17	3.215284848756808e-18
6	8.077662712299411e-19	8.249445623514534e-19	1.7178291121512293e-20	1.579695520910216e-21
7	2.758053269390818e-21	2.4218351933953182e-21	-3.3621807599549962e-22	3.1778234694615295e-24
8	7.017661586220679e-24	7.166120719125891e-24	1.4845913290521283e-25	1.5874699598485032e-27
9	2.3573915576376054e-26	2.133640124101091e-26	-2.237514335365145e-27	3.1640030647966855e-30
10	6.252814156934709e-29	6.384701863600756e-29	1.3188770666604642e-30	1.587200441474671e-33
11	2.077454386433377e-31	1.9185014743049648e-31	-1.5895291212841233e-32	3.155903796615293e-36
12	5.665635338003133e-34	5.784913631786544e-34	1.1927829378341074e-35	1.5849093362517386e-39
13	1.8674775325005485e-36	1.7495257256619634e-36	-1.1795180683858507e-37	3.1492434589533235e-42
14	5.195384845858877e-39	5.304622907498987e-39	1.092380616401102e-40	1.582136402420465e-45
15	1.702234883760121e-41	1.6119662691545105e-41	-9.026861460561044e-43	3.1429582731085896e-48
16	4.807050314889308e-44	4.908030757466495e-44	1.009804425771879e-45	1.5792703083561534e-51
17	1.5676296085098985e-46	1.4969637338123566e-46	-7.066587469754184e-48	3.136787641604788e-54
18	4.478823474925198e-49	4.572845478375478e-49	9.402200345028021e-51	1.576410425218125e-57
19	1.455098019655148e-51	1.398827379310999e-51	-5.627064034414899e-53	3.130670592297089e-60
20	4.196306667634327e-54	4.28435323160231e-54	8.804656396798295e-56	1.5735775914693735e-63
21	1.3591017691275664e-56	1.313709595413562e-56	-4.5392173714004396e-58	3.124583346432111e-66
22	3.9495533557618095e-59	4.032390562635068e-59	8.283720687325875e-61	1.5707776742483924e-69
23	1.2758803211215422e-61	1.2389012240141136e-61	-3.6979097107428655e-63	3.118523046283238e-72
24	3.73143710425437e-64	3.8096764542176866e-64	7.823934996331648e-66	1.568013686985036e-75
25	1.2027787347625832e-66	1.1724308010770541e-66	-3.034793368552911e-68	3.1124957379365994e-78
26	3.5366969900357717e-69	3.6108363551924737e-69	7.413936515670195e-71	1.5652864562797547e-81
27	1.1378617869292464e-71	1.1128239606893284e-71	-2.5037826239918002e-73	3.10649255068104e-84
28	3.3613509040521498e-74	3.431802450403902e-74	7.045154635175228e-76	1.5625935139464735e-87
29	1.0796807770961277e-76	1.0589524191008082e-76	-2.0728357995319576e-78	3.100513392905131e-90
30	3.2023200200174513e-79	3.269429842736086e-79	6.710982271863483e-81	1.559934687091999e-93
31	1.0271264612590724e-81	1.0099355864750418e-81	-1.7190874784030583e-83	3.0945677613452224e-96
32	3.0571800434027752e-84	3.1212423424071062e-84	6.4062299004331e-86	1.5573121507074943e-99
33	9.793329069468544e-87	9.650744022698355e-87	-1.425850467701894e-88	3.088645842458206e-102
34	2.9239915327096564e-89	2.9852590806392833e-89	6.126754792962696e-91	1.5547249443482898e-105
35	9.356126748321328e-92	9.238056095955197e-92	-1.180706523661307e-93	3.0827475406982005e-108
36	2.801181178587688e-94	2.859873204400756e-94	5.869202581306802e-96	1.5521712467668346e-111
37	8.954119415467826e-97	8.856693950511639e-97	-9.742546495618701e-99	3.0768812629544033e-114
38	2.6874568697391284e-99	2.7437650993859024e-99	5.630822964677399e-101	1.5496508619414701e-117
39	8.582786979598385e-102	8.5028600429602e-102	-7.992693663818578e-104	3.071039559121016e-120
40	2.5817457264338184e-104	2.6358390827271847e-104	5.409335629336629e-106	1.5471664201479117e-123
41	8.238397466199048e-107	8.173385284001052e-107	-6.50121821979954e-109	3.0652211521940393e-126
42	2.483148095311455e-109	2.535176404800293e-109	5.202830948883819e-111	1.5447159548450754e-129
43	7.917837581142087e-112	7.865600218419079e-112	-5.2237362723007766e-114	3.059433139533316e-132
44	2.390902856721227e-114	2.440999809367292e-114	5.0096952646065004e-116	1.5422981869054337e-135
45	7.618485856189827e-117	7.577237182924116e-117	-4.1248673265710636e-119	3.053670636361384e-138
46	2.3043608924732131e-119	2.3526464309934352e-119	4.828553852022208e-121	1.539912920575671e-141
47	7.33811627420349e-122	7.306354992023837e-122	-3.1761282179653777e-124	3.0479311142361205e-144
48	2.222964534599652e-124	2.2695468028090205e-124	4.6582268209368326e-126	1.5375629971575032e-147
49	7.074824074657898e-127	7.051280257029418e-127	-2.354381762847948e-129	3.042220356669866e-150
50	2.146231461489445e-129	2.1912084076213785e-129	4.497694613193354e-131	1.535245936857667e-153
51	6.826967943244713e-132	6.810561156085108e-132	-1.6406787159604968e-134	3.0365360521875896e-156
