# begin gnuplot size=1001 julia precision=1024
# order	Lagrange	B_SplineLU
3	4.6882278863456276e-11	3.3628148516571056e-12
4	9.700929216073427e-14	1.5411255901889415e-15
5	3.401542337540021e-16	3.215284848756808e-18
6	8.077662712299411e-19	1.579695520910216e-21
7	2.758053269390818e-21	3.1778234694615295e-24
8	7.017661586220679e-24	1.5874699598485032e-27
9	2.3573915576376054e-26	3.1640030647966855e-30
10	6.252814156934709e-29	1.587200441474671e-33
11	2.077454386433377e-31	3.155903796615293e-36
12	5.665635338003133e-34	1.5849093362517386e-39
13	1.8674775325005485e-36	3.1492434589533235e-42
14	5.195384845858877e-39	1.582136402420465e-45
15	1.702234883760121e-41	3.1429582731085896e-48
16	4.807050314889308e-44	1.5792703083561534e-51
17	1.5676296085098985e-46	3.136787641604788e-54
18	4.478823474925198e-49	1.576410425218125e-57
19	1.455098019655148e-51	3.130670592297089e-60
20	4.196306667634327e-54	1.5735775914693735e-63
21	1.3591017691275664e-56	3.124583346432111e-66
22	3.9495533557618095e-59	1.5707776742483924e-69
23	1.2758803211215422e-61	3.118523046283238e-72
24	3.73143710425437e-64	1.568013686985036e-75
25	1.2027787347625832e-66	3.1124957379365994e-78
26	3.5366969900357717e-69	1.5652864562797547e-81
27	1.1378617869292464e-71	3.10649255068104e-84
28	3.3613509040521498e-74	1.5625935139464735e-87
29	1.0796807770961277e-76	3.100513392905131e-90
30	3.2023200200174513e-79	1.559934687091999e-93
31	1.0271264612590724e-81	3.0945677613452224e-96
32	3.0571800434027752e-84	1.5573121507074943e-99
33	9.793329069468544e-87	3.088645842458206e-102
34	2.9239915327096564e-89	1.5547249443482898e-105
35	9.356126748321328e-92	3.0827475406982005e-108
36	2.801181178587688e-94	1.5521712467668346e-111
37	8.954119415467826e-97	3.0768812629544033e-114
38	2.6874568697391284e-99	1.5496508619414701e-117
39	8.582786979598385e-102	3.071039559121016e-120
40	2.5817457264338184e-104	1.5471664201479117e-123
41	8.238397466199048e-107	3.0652211521940393e-126
42	2.483148095311455e-109	1.5447159548450754e-129
43	7.917837581142087e-112	3.059433139533316e-132
44	2.390902856721227e-114	1.5422981869054337e-135
45	7.618485856189827e-117	3.053670636361384e-138
46	2.3043608924732131e-119	1.539912920575671e-141
47	7.33811627420349e-122	3.0479311142361205e-144
48	2.222964534599652e-124	1.5375629971575032e-147
49	7.074824074657898e-127	3.042220356669866e-150
50	2.146231461489445e-129	1.535245936857667e-153
51	6.826967943244713e-132	3.0365360521875896e-156

