# begin gnuplot order=[3, 11, 31] julia precision=1024
# size	Lagrange(3)	B_Spline(3)	Lagrange(11)	B_Spline(11)	Lagrange(31)	B_Spline(31)
101	4.5214804500295475e-7	3.247963481706117e-8	1.8630466514497764e-19	2.8607642418912164e-24	7.677270802837453e-50	2.4723879126376663e-64
201	2.8834804190469473e-8	2.069031108382167e-9	4.8331037306816977e-23	7.361457043482576e-28	2.1025444484602726e-59	6.440881942922926e-74
301	5.73403758069393e-9	4.11358631726906e-10	3.800792597863131e-25	5.780305299497056e-30	5.142534008716943e-65	1.5603355115964114e-79
401	1.820362621207372e-9	1.3058292430046261e-10	1.2161088041762536e-26	1.8484879138116454e-31	5.306224194063896e-69	1.6045659717407505e-83
501	7.471169954395093e-10	5.3592305572601334e-11	8.407510131484724e-28	1.2776260456826517e-32	4.272134305090265e-72	1.289835451813412e-86
601	3.6078117774118446e-10	2.5879133204329133e-11	9.467486968161565e-29	1.438508459539303e-33	1.2632647262547027e-74	3.8107651141132436e-89
701	1.9492656974655826e-10	1.3982089695239609e-11	1.4931971606909727e-29	2.2686080069904767e-34	9.173101445038436e-77	2.7657290381854985e-91
801	1.143441435672952e-10	8.201850433098505e-12	3.0140220099239694e-30	4.578948233682517e-35	1.2860628454280913e-78	3.876232820463233e-93
901	7.142420725047417e-11	5.123198760564479e-12	7.345837958660998e-31	1.1159503889744462e-35	2.9806858751833723e-80	8.981809979675598e-95
1001	4.6882278863456276e-11	3.3628148516571056e-12	2.077454386433377e-31	3.155903796615293e-36	1.0271264612590724e-81	3.0945677613452224e-96
1101	3.2032885903221636e-11	2.2976780475023266e-12	6.626646086297919e-32	1.0066481116022165e-36	4.8789211466142056e-83	1.4697616088295333e-97
1201	2.2624216902891952e-11	1.622802994760813e-12	2.3346748834523937e-32	3.5465326593432204e-37	3.020956800318971e-84	9.099704859975407e-99
1301	1.6429963100981708e-11	1.178496129977309e-12	8.941608248520506e-33	1.3582766809410003e-37	2.3369498839639807e-85	7.038835452299618e-100
1401	1.2217810450170721e-11	8.763637849153513e-13	3.676936478721405e-33	5.58540678228149e-38	2.185265734439957e-86	6.581589122106204e-101
1501	9.273064407339915e-12	6.651412544051872e-13	1.607592199664793e-33	2.4419760698599834e-38	2.4062669265129176e-87	7.246865781593415e-102
1601	7.164416353851558e-12	5.138910726939871e-13	7.413931679332932e-34	1.1261895691826708e-38	3.0549524325506226e-88	9.200139653889352e-103
1701	5.622493627191856e-12	4.032913772805584e-13	3.5833819538867653e-34	5.443194765320369e-39	4.395314610541701e-89	1.3236290796589218e-103
1801	4.4739532719871935e-12	3.209084580490614e-13	1.8054296299205466e-34	2.7424551677394475e-39	7.064638931363586e-90	2.1274280269588458e-104
1901	3.6042747207605756e-12	2.585278882241984e-13	9.439737811968657e-35	1.4338950935045026e-39	1.2534346593731174e-90	3.774478307382647e-105
2001	2.936013502090939e-12	2.1059467443929197e-13	5.102469932339654e-35	7.750622760463985e-40	2.4300945147845877e-91	7.317624851713336e-106
2101	2.4156957552165057e-12	1.7327320956245323e-13	2.8420587212907813e-35	4.3170598725522455e-40	5.1038371472934676e-92	1.5368683848184978e-106
2201	2.005701561768117e-12	1.438650710491482e-13	1.6266918919495123e-35	2.4709238195017134e-40	1.1526290030745772e-92	3.470749345668826e-107
2301	1.6791134505785313e-12	1.2043950927019435e-13	9.544353320651561e-36	1.4497720235112041e-40	2.7809902975913635e-93	8.373900675293428e-108
2401	1.41637386132605e-12	1.0159369103991867e-13	5.7284894312810873e-36	8.701469043296206e-41	7.128242577378426e-94	2.1463773869238754e-108
2501	1.203072505631441e-12	8.629398966112326e-14	3.510603880891342e-36	5.332534031410672e-41	1.931495677058197e-94	5.815849917441263e-109
2601	1.0284547353116655e-12	7.376899207878681e-14	2.193117927623421e-36	3.331295899577915e-41	5.5085951704751036e-95	1.658657109864536e-109
2701	8.843990633946271e-13	6.343615783839468e-14	1.3946051808445206e-36	2.1183707977250343e-41	1.6471974349503477e-95	4.959731028414715e-110
2801	7.647054636745236e-13	5.485076981642772e-14	9.015483938716656e-37	1.3694282627490734e-41	5.14651294425114e-96	1.5496106515233122e-110
2901	6.645929487470734e-13	4.7669896229753536e-14	5.917982315243333e-37	8.98925062472477e-42	1.6749637416396567e-96	5.043270804930643e-111
3001	5.803402293422289e-13	4.1626615674846553e-14	3.940528895919385e-37	5.985548671349178e-42	5.662667228342484e-97	1.70500451874277e-111
3101	5.090255792091307e-13	3.6511358042539074e-14	2.6590427199654092e-37	4.0390053155150684e-42	1.983702413041902e-97	5.972812167557862e-112
3201	4.4833638624216103e-13	3.2158243925706487e-14	1.8168474486593583e-37	2.7597342574947783e-42	7.184418160369104e-98	2.163176612129718e-112
3301	3.9642825145775407e-13	2.843497802001506e-14	1.2560308335065067e-37	1.9078701840620643e-42	2.684581032789905e-98	8.083047122865597e-113
3401	3.5181971811289033e-13	2.523529821978983e-14	8.779444660791538e-38	1.3335684408005197e-42	1.033049626642828e-98	3.110413653957233e-113
3501	3.133128953363952e-13	2.247328208634593e-14	6.200708750212636e-38	9.41866524070394e-43	4.086824271472913e-99	1.2304994886018012e-113
3601	2.799330885110168e-13	2.0079016639829002e-14	4.4225141993023796e-38	6.717644991559654e-43	1.6595629010276058e-99	4.9967523198544695e-114
3701	2.5088251140826217e-13	1.7995278211962555e-14	3.183594159223159e-38	4.835766404322563e-43	6.907532935435372e-100	2.0797723984757925e-114
3801	2.2550452317934383e-13	1.6174967229059216e-14	2.3119173859626484e-38	3.5117188797539353e-43	2.943079130557701e-100	8.861222140211139e-115
3901	2.032557970893423e-13	1.4579111925445152e-14	1.6929158311762162e-38	2.5714769081764463e-43	1.282045473051421e-100	3.8600598761769556e-115
4001	1.8368451366461364e-13	1.317530417762177e-14	1.249465231208898e-38	1.897891065920953e-43	5.703484465509933e-101	1.7172355925803368e-115
4101	1.664131635258588e-13	1.1936465983097353e-14	9.291152343976825e-39	1.4112909017160721e-43	2.5885785772788864e-101	7.793814219844778e-116
4201	1.5112490219398012e-13	1.083987071592345e-14	6.958484323075852e-39	1.0569671229787446e-43	1.1974247183326806e-101	3.605255590786803e-116
4301	1.3755266010161153e-13	9.866362008190858e-15	5.247029895816253e-39	7.970035183730592e-44	5.640426194299247e-102	1.6982395980917494e-116
4401	1.2547040330795169e-13	8.999726897575658e-15	3.982267625137443e-39	6.048908648630304e-44	2.70327569160916e-102	8.139104746080776e-117
4501	1.1468608315903561e-13	8.226190119852005e-15	3.041156193335701e-39	4.619396056025006e-44	1.317181937054779e-102	3.96580512901024e-117
4601	1.0503591988547487e-13	7.534004082278466e-15	2.336254207541994e-39	3.54867696381795e-44	6.52022766708392e-103	1.963123915834993e-117
4701	9.637974551441475e-14	6.913114819623214e-15	1.8049446770728217e-39	2.741638371549471e-44	3.2767720321437993e-103	9.865760600939293e-118
4801	8.859719240336797e-14	6.3548886050623355e-15	1.4020595190017379e-39	2.1296715785333096e-44	1.6707817165183971e-103	5.0304112049642e-118
4901	8.15845601797059e-14	5.851887221836408e-15	1.0947891980594795e-39	1.6629400919976165e-44	8.638212057884686e-104	2.600800846381531e-118
5001	7.525222953346636e-14	5.397682459657528e-15	8.59141485735556e-40	1.305000599328848e-44	4.5260050116245465e-104	1.362692175472676e-118
5101	6.952251883569346e-14	4.986702374146286e-15	6.7745908820206e-40	1.0290323285279519e-44	2.4019505127327122e-104	7.231798413525687e-119
5201	6.432790091440938e-14	4.614103379684215e-15	5.366667889898468e-40	8.151745179945423e-45	1.2904914102299423e-104	3.8854106486922805e-119
5301	5.960951398376138e-14	4.2756634413058905e-15	4.2702502254095005e-40	6.486331381282853e-45	7.015921683589611e-105	2.1123511588480727e-119
5401	5.531591378734173e-14	3.967692568415908e-15	3.4123758248105113e-40	5.183255316968872e-45	3.857987551447096e-105	1.1615604248562918e-119
5501	5.140202431082398e-14	3.686957551496137e-15	2.738087060493489e-40	4.15903848089191e-45	2.1448744818655013e-105	6.457768749124015e-120
5601	4.782825256759548e-14	3.4306184674480504e-15	2.2057695047882905e-40	3.3504701842470765e-45	1.205136443329584e-105	3.6284109439858005e-120
5701	4.4559739440164864e-14	3.1961749439485734e-15	1.7837521752458563e-40	2.7094434527407965e-45	6.840711204099407e-106	2.0595918521467304e-120
5801	4.156572373406733e-14	2.9814205443152117e-15	1.4478135249363091e-40	2.199166718275152e-45	3.9214158077148805e-106	1.1806535629734899e-120
5901	3.8819000749880804e-14	2.784403931968276e-15	1.1793416760041947e-40	1.7913692825956526e-45	2.269420337760734e-106	6.832729432430975e-121
6001	3.6295460019219256e-14	2.6033957131680406e-15	9.63969974908287e-41	1.4642287772751334e-45	1.3254964663053156e-106	3.990777955468189e-121
6101	3.3973689550187975e-14	2.4368600503431615e-15	7.905598141106959e-41	1.2008261086561348e-45	7.810913886809513e-107	2.351692659790236e-121
6201	3.1834636117774447e-14	2.2834302954103832e-15	6.504385365721637e-41	9.879878640945041e-46	4.642578591938612e-107	1.3977764365722418e-121
6301	2.9861312917612246e-14	2.1418880203741174e-15	5.368256892412848e-41	8.154148132569816e-46	2.782475422575731e-107	8.377405482311727e-122
6401	2.8038547358191495e-14	2.01114492697618e-15	4.443990529145459e-41	6.750227244337543e-46	1.6811413510483267e-107	5.061534380850939e-122
6501	2.635276296062619e-14	1.890227202811898e-15	3.689649088426965e-41	5.604415124885035e-46	1.0236922211413817e-107	3.082102909914573e-122
6601	2.4791790317049935e-14	1.77826196176298e-15	3.072064062903995e-41	4.6663301915036275e-46	6.280920309282505e-108	1.8910403585169368e-122
